SM_Base_Door_01_3m_Interior | pos=(-1700, -850, 50) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Base_Wall_02_1m | pos=(-1700, -1150, 50) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -850, 450) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_3m_b | pos=(-1600, -1250, 450) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -850, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -1250, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -850, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -1250, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -850, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -1250, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -850, 1850) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -1250, 1850) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -850, 2200) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m | pos=(-1600, -1250, 2200) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_04_4m | pos=(-1700, -850, 2550) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Base_Wall_02_1m_Corner_90 | pos=(-1800, -650, 50) | yaw=90 | scale=(1.00, 1.00, 1.00)
SM_Base_Window_06_2m_Interior | pos=(-1700, -1350, 50) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Base_Wall_01_1m_b | pos=(-1901, -645, 50) | yaw=90 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -850, 450) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_3m_b_Glass | pos=(-1600, -1250, 450) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -850, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -1250, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -850, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -1250, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -850, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -1250, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -850, 1850) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -1250, 1850) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -850, 2200) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Upper_Window_01_4m_Glass | pos=(-1600, -1250, 2200) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1350, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1050, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_1m | pos=(-1650, -950, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_01_1m_End_03b | pos=(-1650, -950, 800) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1350, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1050, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_1m | pos=(-1650, -950, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_01_1m_End_03b | pos=(-1650, -950, 1150) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1350, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1050, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_1m | pos=(-1650, -950, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_01_1m_End_03b | pos=(-1650, -950, 1500) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1350, 1850) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_3m | pos=(-1650, -1050, 1850) | yaw=0 | scale=(1.00, 1.00, 1.00)
SM_Awning_02_1m | pos=(-1650, -950, 1850) | yaw=0 | scale=(1.00, 1.00, 1.00)
