JOB|-2007_-1451_3038
HIDE|SM_Upper_Window_02_3m|-2200.0,-660.4,1325.0
HIDE|SM_Upper_Window_03_2m|-2450.0,-660.4,1325.0
HIDE|SM_Upper_Window_04_4m|-2850.0,-660.4,1325.0
HIDE|SM_Upper_Wall_01_1m|-2600.0,-650.0,1325.0
HIDE|SM_Upper_Window_02_3m_Glass|-2200.0,-664.1,1372.5
HIDE|SM_Upper_Window_03_2m_Glass|-2450.2,-664.1,1387.5
HIDE|SM_Upper_Window_04_4m_Glass|-2854.2,-664.1,1372.5
HIDE|SM_Upper_Window_02_3m|-2200.0,-660.4,1675.0
HIDE|SM_Upper_Window_03_2m|-2450.0,-660.4,1675.0
HIDE|SM_Upper_Window_04_4m|-2850.0,-660.4,1675.0
HIDE|SM_Upper_Wall_01_1m|-2600.0,-650.0,1675.0
HIDE|SM_Upper_Window_02_3m_Glass|-2200.0,-664.1,1722.5
HIDE|SM_Upper_Window_03_2m_Glass|-2450.2,-664.1,1737.5
HIDE|SM_Upper_Window_04_4m_Glass|-2854.2,-664.1,1722.5
HIDE|SM_Upper_Window_02_3m|-2200.0,-660.4,2025.0
HIDE|SM_Upper_Window_03_2m|-2450.0,-660.4,2025.0
HIDE|SM_Upper_Window_04_4m|-2850.0,-660.4,2025.0
HIDE|SM_Upper_Wall_01_1m|-2600.0,-650.0,2025.0
HIDE|SM_Upper_Window_02_3m_Glass|-2200.0,-664.1,2072.5
HIDE|SM_Upper_Window_03_2m_Glass|-2450.2,-664.1,2087.5
HIDE|SM_Upper_Window_04_4m_Glass|-2854.2,-664.1,2072.5
HIDE|SM_Upper_Window_02_3m|-2200.0,-660.4,2375.0
HIDE|SM_Upper_Window_03_2m|-2450.0,-660.4,2375.0
HIDE|SM_Upper_Window_04_4m|-2850.0,-660.4,2375.0
HIDE|SM_Upper_Wall_01_1m|-2600.0,-650.0,2375.0
HIDE|SM_Upper_Window_02_3m_Glass|-2200.0,-664.1,2422.5
HIDE|SM_Upper_Window_03_2m_Glass|-2450.2,-664.1,2437.5
HIDE|SM_Upper_Window_04_4m_Glass|-2854.2,-664.1,2422.5
HIDE|SM_Upper_Window_02_3m|-2200.0,-660.4,2725.0
HIDE|SM_Upper_Window_03_2m|-2450.0,-660.4,2725.0
HIDE|SM_Upper_Window_04_4m|-2850.0,-660.4,2725.0
HIDE|SM_Upper_Wall_01_1m|-2600.0,-650.0,2725.0
HIDE|SM_Upper_Window_02_3m_Glass|-2200.0,-664.1,2772.5
HIDE|SM_Upper_Window_03_2m_Glass|-2450.2,-664.1,2787.5
HIDE|SM_Upper_Window_04_4m_Glass|-2854.2,-664.1,2772.5
JOB|-1655_-1589_2686
HIDE|SM_Upper_Window_01_4m|-1610.3,-1850.0,975.0
HIDE|SM_Upper_Window_01_1m|-1607.8,-2100.0,975.0
HIDE|SM_Upper_Window_02_3m|-2250.0,-2439.6,975.0
HIDE|SM_Upper_Window_02_3m|-2550.0,-2439.6,975.0
HIDE|SM_Upper_Window_02_3m|-2850.0,-2439.6,975.0
HIDE|SM_Upper_Window_01_1m_Corner_90|-1648.3,-2201.7,975.0
HIDE|SM_Upper_Window_01_4m_Glass|-1617.1,-1850.5,1022.5
HIDE|SM_Upper_Window_01_1m_Glass|-1617.1,-2100.1,1022.5
HIDE|SM_Upper_Window_02_3m_Glass|-2550.0,-2435.9,1022.5
HIDE|SM_Upper_Window_02_3m_Glass|-2850.0,-2435.9,1022.5
HIDE|SM_Upper_Window_01_4m|-1610.3,-1850.0,1325.0
HIDE|SM_Upper_Window_01_1m|-1607.8,-2100.0,1325.0
HIDE|SM_Upper_Window_02_3m|-2250.0,-2439.6,1325.0
HIDE|SM_Upper_Window_02_3m|-2550.0,-2439.6,1325.0
HIDE|SM_Upper_Window_02_3m|-2850.0,-2439.6,1325.0
HIDE|SM_Upper_Window_01_1m_Corner_90|-1648.3,-2201.7,1325.0
HIDE|SM_Upper_Window_01_4m_Glass|-1617.1,-1850.5,1372.5
HIDE|SM_Upper_Window_01_1m_Glass|-1617.1,-2100.1,1372.5
HIDE|SM_Upper_Window_02_3m_Glass|-2550.0,-2435.9,1372.5
HIDE|SM_Upper_Window_02_3m_Glass|-2850.0,-2435.9,1372.5
HIDE|SM_Upper_Window_01_4m|-1610.3,-1850.0,1675.0
HIDE|SM_Upper_Window_01_1m|-1607.8,-2100.0,1675.0
HIDE|SM_Upper_Window_02_3m|-2250.0,-2439.6,1675.0
HIDE|SM_Upper_Window_02_3m|-2550.0,-2439.6,1675.0
HIDE|SM_Upper_Window_02_3m|-2850.0,-2439.6,1675.0
HIDE|SM_Upper_Window_01_1m_Corner_90|-1648.3,-2201.7,1675.0
HIDE|SM_Upper_Window_01_4m_Glass|-1617.1,-1850.5,1722.5
HIDE|SM_Upper_Window_01_1m_Glass|-1617.1,-2100.1,1722.5
