=== SPOT 0: (-1730, -922, 150) ===
SM_Base_Door_01_3m_Interior | pos=(-1700, -850, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_02_1m | pos=(-1700, -1150, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_01_4m | pos=(-1600, -850, 450) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_01_3m_b | pos=(-1600, -1250, 450) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_01_3m_b_Interior | pos=(-1600, -1550, 450) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_04_4m | pos=(-2450, -650, 450) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_02_1m_Corner_90 | pos=(-1800, -650, 50) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Window_06_2m_Interior | pos=(-1700, -1350, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Window_06_2m_Interior | pos=(-1700, -1650, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_01_1m | pos=(-2200, -650, 50) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_01_1m | pos=(-2300, -650, 50) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_01_1m_b | pos=(-1901, -645, 50) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_01_4m_Glass | pos=(-1600, -850, 450) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_01_3m_b_Glass | pos=(-1600, -1250, 450) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_01_3m_b_Glass | pos=(-1600, -1550, 450) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Upper_Window_04_4m_Glass | pos=(-2450, -650, 450) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_HotelSign02_01 | pos=(-1775, -745, 450) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Door_01_3m_Glass_Interior | pos=(-1700, -850, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_02_1m | pos=(-1700, -1250, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_02_1m | pos=(-1700, -1550, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Wall_02_1m | pos=(-1700, -750, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Awning_06_4m | pos=(-1700, -650, 440) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Awning_06_4m | pos=(-1700, -1050, 440) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Awning_06_4m | pos=(-1700, -1450, 440) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Awning_06_1m_End_b | pos=(-1700, -650, 440) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Window_06_2m_Interior_Glass | pos=(-1700, -1350, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Window_06_2m_Interior_Glass | pos=(-1700, -1650, 50) | rot=(0, 0, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Awning_06_3m_b | pos=(-2000, -650, 440) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Awning_06_1m_b_Corner_90 | pos=(-2000, -650, 440) | rot=(0, 180, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Awning_Support_01 | pos=(-1850, -645, 425) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Window_06_2m_b_Interior | pos=(-2100, -650, 50) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
SM_Base_Window_06_2m_b_Interior | pos=(-2500, -650, 50) | rot=(0, 90, 0) | vis=1 hid=0 | StaticMeshActor | tags=
