SM_Upper_Window_01_4m | (-1610, -1050, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_01_4m | (-1610, -1450, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_01_4m | (-1610, -1850, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_01_1m | (-1608, -2100, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_02_3m | (-2250, -2440, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_02_3m | (-2550, -2440, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_02_3m | (-2850, -2440, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Wall_01_3m | (-3150, -2450, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_03_2m | (-3400, -2440, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_02_3m | (-2200, -660, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_03_2m | (-2450, -660, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_04_4m | (-2850, -660, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Wall_01_1m | (-2600, -650, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Wall_01_1m | (-3100, -650, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_03_2m | (-3250, -660, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_04_4m | (-3550, -660, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_01_1m_Corner_90 | (-1648, -2202, 975) | vis=0 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_01_4m_Glass | (-1617, -1050, 1022) | vis=1 hid=0 | mat=MI_Window | tags= | actor=StaticMeshActor
SM_Upper_Window_01_4m_Glass | (-1617, -1450, 1022) | vis=1 hid=0 | mat=MI_Window | tags= | actor=StaticMeshActor
SM_Upper_Window_01_4m_Glass | (-1617, -1850, 1022) | vis=0 hid=0 | mat=MI_Window_TwoSided | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -2100, 800) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -1800, 800) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -1500, 800) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -1200, 800) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_1m | (-1575, -1000, 800) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_01_1m_End_03b | (-1575, -900, 800) | vis=1 hid=0 | mat=MI_Stucco01_NoDmg | tags= | actor=StaticMeshActor
SM_Awning_02_1m | (-1700, -2275, 800) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -2100, 1150) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -1800, 1150) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -1500, 1150) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-1575, -1200, 1150) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_1m | (-1575, -1000, 1150) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_01_1m_End_03b | (-1575, -900, 1150) | vis=1 hid=0 | mat=MI_Stucco01_NoDmg | tags= | actor=StaticMeshActor
SM_Awning_02_1m | (-1700, -2275, 1150) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_01_1m_End_03 | (-2100, -610, 1125) | vis=1 hid=0 | mat=MI_Stucco01_NoDmg | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-2300, -610, 1126) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-2600, -610, 1126) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-2900, -610, 1126) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-3200, -610, 1126) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-3500, -610, 1126) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_01_1m_End_03 | (-2100, -595, 778) | vis=1 hid=0 | mat=MI_Stucco01_NoDmg | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-2300, -595, 779) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Awning_02_3m | (-2600, -595, 779) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
